section	headword	months_on_list	german_missing	webpage	n_uc_s	n_lc_s	n_uc_r	n_lc_r	n_total_est	div_zero
== Substantive ==	Atomumwandlung	36		https://de.wiktionary.org/wiki/Atomumwandlung	0	0	0	0	0	
== Substantive ==	Atomunterseeboot	36		https://de.wiktionary.org/wiki/Atomunterseeboot	0	0	0	0	0	
== Substantive ==	Atomwärme	36		https://de.wiktionary.org/wiki/Atomw%C3%A4rme	0	0	0	0	0	
== Substantive ==	Atomzeichen	36		https://de.wiktionary.org/wiki/Atomzeichen	0	0	0	0	0	
== Substantive ==	Atomzerfall	36		https://de.wiktionary.org/wiki/Atomzerfall	0	0	1	0	1	
== Substantive ==	Atomzertrümmerung	36		https://de.wiktionary.org/wiki/Atomzertr%C3%BCmmerung	0	0	2	0	2	
== Substantive ==	Atonalist	36		https://de.wiktionary.org/wiki/Atonalist	0	0	0	0	0	
== Substantive ==	Atonon	36		https://de.wiktionary.org/wiki/Atonon	0	0	0	0	0	
== Substantive ==	ATP-Turnier	36		https://de.wiktionary.org/wiki/ATP-Turnier						
== Substantive ==	Atrichie	36		https://de.wiktionary.org/wiki/Atrichie	0	0	0	0	0	
== Substantive ==	Atriumbungalow	36		https://de.wiktionary.org/wiki/Atriumbungalow	0	0	0	0	0	
== Substantive ==	Atropos	36		https://de.wiktionary.org/wiki/Atropos	1	0	7	6	8	
== Substantive ==	Atrozität	36		https://de.wiktionary.org/wiki/Atrozit%C3%A4t	0	0	0	0	0	
== Substantive ==	Attack	36		https://de.wiktionary.org/wiki/Attack	12	0	252	20	263	
== Substantive ==	Attasche	36		https://de.wiktionary.org/wiki/Attasche	0	0	0	0	0	
== Substantive ==	Attention	36		https://de.wiktionary.org/wiki/Attention	1	0	4	14	4	
== Substantive ==	Attestation	36		https://de.wiktionary.org/wiki/Attestation	0	0	1	0	1	
== Substantive ==	Attraktivum	36		https://de.wiktionary.org/wiki/Attraktivum	0	0	0	0	0	
== Substantive ==	Attraktor	36		https://de.wiktionary.org/wiki/Attraktor	0	0	18	0	18	
== Substantive ==	Atzel	4		https://de.wiktionary.org/wiki/Atzel	2	0	5	0	7	
== Substantive ==	Aufblähen	36		https://de.wiktionary.org/wiki/Aufbl%C3%A4hen	0	0	5	4	5	
== Substantive ==	Aufbrausen	36		https://de.wiktionary.org/wiki/Aufbrausen	0	0	3	0	3	
== Substantive ==	Aufbruchphase	36		https://de.wiktionary.org/wiki/Aufbruchphase	0	0	1	0	1	
== Substantive ==	Auffahrtskonzert	4		https://de.wiktionary.org/wiki/Auffahrtskonzert	0	0	0	0	0	
== Substantive ==	Auffanglager	36		https://de.wiktionary.org/wiki/Auffanglager	1	0	33	0	34	
== Substantive ==	Auffangraum	36		https://de.wiktionary.org/wiki/Auffangraum	0	0	1	0	1	
== Substantive ==	Auffüllplatz	3		https://de.wiktionary.org/wiki/Auff%C3%BCllplatz	0	0	0	0	0	
== Substantive ==	Auffülltechnik	36		https://de.wiktionary.org/wiki/Auff%C3%BClltechnik	0	0	0	0	0	
== Substantive ==	Aufgabenneuzuordnung	36		https://de.wiktionary.org/wiki/Aufgabenneuzuordnung	0	0	0	0	0	
== Substantive ==	Aufheben	36		https://de.wiktionary.org/wiki/Aufheben	1	0	8	134	8	
== Substantive ==	Aufhebens	36		https://de.wiktionary.org/wiki/Aufhebens	0	0	7	0	7	
== Substantive ==	Aufklärungsunterricht	4		https://de.wiktionary.org/wiki/Aufkl%C3%A4rungsunterricht	0	0	0	0	0	
== Substantive ==	Auflandung	25		https://de.wiktionary.org/wiki/Auflandung	0	0	2	0	2	
== Substantive ==	Aufnahmeleitung	36		https://de.wiktionary.org/wiki/Aufnahmeleitung	1	0	39	0	40	
== Substantive ==	Aufschichtung	36		https://de.wiktionary.org/wiki/Aufschichtung	0	0	0	0	0	
== Substantive ==	Aufsichtsratsmandat	36		https://de.wiktionary.org/wiki/Aufsichtsratsmandat	0	0	5	0	5	
== Substantive ==	Aufständiger	36		https://de.wiktionary.org/wiki/Aufst%C3%A4ndiger	0	0	0	0	0	
== Substantive ==	Auftreffen	36		https://de.wiktionary.org/wiki/Auftreffen	1	0	44	7	45	
== Substantive ==	Auftriebsgebiet	36		https://de.wiktionary.org/wiki/Auftriebsgebiet	0	0	1	0	1	
== Substantive ==	Aufwärterin	36		https://de.wiktionary.org/wiki/Aufw%C3%A4rterin	0	0	1	0	1	
== Substantive ==	Aufwasch	36		https://de.wiktionary.org/wiki/Aufwasch	0	0	0	0	0	
== Substantive ==	Aufwirbelung	36		https://de.wiktionary.org/wiki/Aufwirbelung	0	0	4	0	4	
== Substantive ==	Aufwisch	36		https://de.wiktionary.org/wiki/Aufwisch	0	0	0	0	0	
== Substantive ==	Augendeckel	13		https://de.wiktionary.org/wiki/Augendeckel	0	0	0	0	0	
== Substantive ==	Augenpad	3		https://de.wiktionary.org/wiki/Augenpad	0	0	0	0	0	
